Name,Phone Number,Buyer/Channel Partner/Enquiry/Site Visit,Role
Hari Subramanian,6682751893,Enquiry,UNKNOWN
Siddharth Tripathi,7564209312,Buyer,BUYER
Anand Pillai,6941460145,Site Visit,SITE_VISIT
Anika Verma,7265774428,Buyer,BUYER
Rahul Kulkarni,9064578569,Enquiry,UNKNOWN
Diya Shetty,8960094575,Buyer,BUYER
Krishna Roy,8234300072,Enquiry,UNKNOWN
Tanvi Reddy,9105578047,Channel Partner,CHANNEL_PARTNER
Shreya Iyer,7711435375,Buyer,BUYER
Vikram Iyer,6193180901,Site Visit,SITE_VISIT
Dinesh Tripathi,9618011434,Buyer,BUYER
Suresh Sundaram,6510663316,Channel Partner,CHANNEL_PARTNER
Nisha Gupta,9829126485,Buyer,BUYER
Aditya Krishnan,8731762453,Channel Partner,CHANNEL_PARTNER
Azhagu Rao,9293853730,Site Visit,SITE_VISIT
Divya Mukherjee,7279311607,Channel Partner,CHANNEL_PARTNER
Vivaan Reddy,7327767523,Buyer,BUYER
Sneha Das,6932170500,Site Visit,SITE_VISIT
Ramesh Verma,9568645436,Site Visit,SITE_VISIT
Vihaan Bhat,7374632477,Site Visit,SITE_VISIT
Gopal Patel,9169195408,Site Visit,SITE_VISIT
Gopal Chauhan,8762315986,Channel Partner,CHANNEL_PARTNER
Ayaan Yadav,6490300165,Buyer,BUYER
Hari Joshi,7340629397,Enquiry,UNKNOWN
Diya Shetty,7177195771,Site Visit,SITE_VISIT
Vihaan Jain,7587127390,Channel Partner,CHANNEL_PARTNER
Sai Arora,6390323177,Buyer,BUYER
Ira Kulkarni,8648913600,Buyer,BUYER
Aarav Jain,8207030495,Buyer,BUYER
Arjun Reddy,6223105030,Channel Partner,CHANNEL_PARTNER
Neha Kumar,8936388913,Enquiry,UNKNOWN
Aditya Naidu,8246128778,Enquiry,UNKNOWN
Dinesh Jain,6865368740,Enquiry,UNKNOWN
Krishna Pandey,7923574064,Site Visit,SITE_VISIT
Divya Pillai,8559554478,Buyer,BUYER
Arjun Malhotra,7240770966,Channel Partner,CHANNEL_PARTNER
Shreya Rao,7095768375,Channel Partner,CHANNEL_PARTNER
Neha Mukherjee,8137116632,Enquiry,UNKNOWN
Sneha Narayanan,9006798755,Enquiry,UNKNOWN
Azhagu Jain,6022021263,Enquiry,UNKNOWN
Naveen Balaji,9320083188,Buyer,BUYER
Vihaan Rao,8026424848,Site Visit,SITE_VISIT
Vasudevan Tripathi,6114459232,Site Visit,SITE_VISIT
Nisha Nair,8652792943,Channel Partner,CHANNEL_PARTNER
